2 10 100 1.770000	0.089751 0.009277	0.991933 0.001685	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.780000	0.091910 0.007800	0.991543 0.001438	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.790000	0.090475 0.009392	0.991804 0.001671	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.800000	0.091057 0.008796	0.991699 0.001630	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.810000	0.088526 0.007222	0.992157 0.001287	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.820000	0.090479 0.009082	0.991803 0.001665	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.830000	0.090876 0.009822	0.991730 0.001814	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.840000	0.092407 0.007828	0.991452 0.001479	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.850000	0.090716 0.009561	0.991757 0.001740	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.860000	0.088674 0.007176	0.992129 0.001287	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.870000	0.094405 0.006389	0.991081 0.001213	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.880000	0.094405 0.006389	0.991081 0.001213	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.890000	0.090769 0.009153	0.991749 0.001668	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.900000	0.085639 0.007393	0.992657 0.001251	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.910000	0.087141 0.007094	0.992401 0.001237	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.920000	0.085664 0.009484	0.992649 0.001649	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.930000	0.090037 0.009944	0.991880 0.001750	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.940000	0.091624 0.009997	0.991594 0.001820	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.950000	0.088318 0.009372	0.992189 0.001666	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.960000	0.087659 0.009234	0.992302 0.001629	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.970000	0.089176 0.009152	0.992035 0.001626	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.980000	0.092246 0.009934	0.991478 0.001817	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 1.990000	0.094468 0.005591	0.991072 0.001051	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.000000	0.094468 0.005591	0.991072 0.001051	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.010000	0.094468 0.005591	0.991072 0.001051	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.020000	0.094468 0.005591	0.991072 0.001051	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.030000	0.093988 0.007388	0.991160 0.001383	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.040000	0.091697 0.009324	0.991579 0.001750	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.050000	0.086997 0.009862	0.992414 0.001697	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.060000	0.093434 0.009754	0.991255 0.001825	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.070000	0.085432 0.009344	0.992690 0.001578	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.080000	0.089564 0.005705	0.991974 0.001025	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.090000	0.083003 0.007590	0.993104 0.001269	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.100000	0.093371 0.009863	0.991269 0.001841	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.110000	0.096900 0.008946	0.990601 0.001719	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.120000	0.094094 0.009832	0.991129 0.001859	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 2.130000	0.090179 0.008802	0.991857 0.001550	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
