2 10 100 0.480000	0.103275 0.006357	0.989328 0.001308	0.061551 0.009932	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.490000	0.099937 0.006018	0.990008 0.001215	0.054071 0.009876	0.000112 0.000559	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.500000	0.099966 0.004362	0.990004 0.000868	0.055347 0.009869	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.510000	0.102869 0.007986	0.989411 0.001642	0.045911 0.009840	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.520000	0.093224 0.008045	0.991299 0.001504	0.065286 0.009601	0.000461 0.002822	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.530000	0.099836 0.007173	0.990027 0.001440	0.045093 0.009554	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.540000	0.098670 0.009666	0.990250 0.001938	0.041863 0.005254	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.550000	0.101030 0.009316	0.989781 0.001869	0.049050 0.008034	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.560000	0.099094 0.008913	0.990165 0.001781	0.037668 0.009994	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.570000	0.099272 0.003756	0.990142 0.000744	0.040755 0.009713	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.580000	0.098039 0.003708	0.990387 0.000728	0.036900 0.009952	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.590000	0.097406 0.009114	0.990503 0.001768	0.031441 0.009051	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.600000	0.097004 0.009993	0.990577 0.001896	0.039421 0.009609	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.610000	0.092247 0.006798	0.991484 0.001264	0.025116 0.009922	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.620000	0.093426 0.009848	0.991262 0.001830	0.032311 0.009714	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.630000	0.098732 0.007726	0.990240 0.001511	0.032052 0.009594	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.640000	0.092533 0.009200	0.991426 0.001663	0.029539 0.009959	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.650000	0.094179 0.004408	0.991128 0.000839	0.033884 0.009431	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
2 10 100 0.660000	0.095907 0.008381	0.990792 0.001590	0.025907 0.009877	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
